shortname,longname,ap_location_id,client_id,client_name_id,ap_region,ap_location_group
nec_pot_D6_7,Northeast (Canyon) - Pot (D6) on island in middle of pond northeast of playground,100000006,7,,Main Island Breakables,Pot
wf_pot_F3_26,West (Forest) - Pot (F3) on north cliff edge of pond with dead trees,100000025,26,,Main Island Breakables,Pot
nm_pot_C4_52,North (Mountain) - Pot (C4) part of Scooter's allergy quest (west),100000051,52,,Main Island Mountain Breakables,Pot
ec_pot_E7_63,East (Creeklands) - Pot (E7) northwest of Splash Pad below cliff to northeast,100000062,63,,Main Island Breakables,Pot
seb_pot_I9_70,Southeast (Beach) - Pot (I9) on south end of Skate Pug's island (west),100000069,70,,Main Island Breakables,Pot
wf_race_G0_73,West (Forest) - Race (G0) starting from island west of Billy's Forest location,100000072,73,,Main Island Races,Race
seb_pot_I9_78,Southeast (Beach) - Pot (I9) on south end of Skate Pug's island (east),100000077,78,,Main Island Breakables,Pot
nm_pot_C4_80,"North (Mountain) - Pot (C4) part of Scooter's allergy quest (peak northwest, east)",100000079,80,,Main Island Mountain Breakables,Pot
seb_pot_H8_83,Southeast (Beach) - Pot (H8) on taller section northwest of Skate Pug,100000082,83,,Main Island Breakables,Pot
nm_pot_C4_88,"North (Mountain) - Pot (C4) part of Scooter's allergy quest (peak northwest, west)",100000087,88,,Main Island Mountain Breakables,Pot
wf_pot_H2_95,West (Forest) - Pot (H2) above Trish (Invisible Horse),100000094,95,,Main Island Breakables,Pot
nm_pot_C4_101,North (Mountain) - Pot (C4) part of Scooter's allergy quest (southwest),100000100,101,,Main Island Mountain Breakables,Pot
seb_pot_J6_102,Southeast (Beach) - Pot (J6) on small tall island east of Leeland's peninsula,100000101,102,,Main Island Breakables,Pot
seb_pot_I6_116,Southeast (Beach) - Pot (I6) on small island south of Marlow's deck,100000115,116,,Main Island Breakables,Pot
ec_pot_F7_118,East (Creeklands) - Pot (F7) south of Splash Pad,100000117,118,,Main Island Breakables,Pot
